comand	abomi
prescription	abomi hakimi
voucher	abomi malaqa
warant	abomi mansera
government's order	abomi motuma
programed instruction	abomi sagantefama
to comand	abomu
gramatical plural of the word aba	aboti
superpowers	aboti ango
national leaders	aboti biya
city fathers	aboti magala
authorities	aboti tayita
judges	aboti sera
admiral	abowaga
fatherhod	abuma
thumb	abugdu
reliable	abdachisa
to promise	abdachisu
to hope	abdachu
promise	abdano
hope	abdata
anticipator	abdata
a promising	abdatama
hopeles	abdi-dhabesa
promising	abdi-qabesa
optimism	abdidansa
hope	abdi
make to lose hope	abdi kutachisu
to lose hope	abdi kutachu
to have hope	abdi qabachu
abujedid	abjade
to dream	abjochu
one who dreams	abjota
fairy-tale	abjote
dream	abju
day-dream	abju guya
avocado	abokado
pugilist	abota
fist	abote
to punch	abotu
sea animals	aboyi
leser kodo	abrole
clever	abshala
clevernes	abshaluma
abscisa	absisa
same as dababasa	abukato
bishop	abuna
cultivation	abura
investigator	abura
cultivated	aburama
proposal	aburo
survey	aburti
to cultivate 2) to lok for gras 3) to investigate	aburu
sedles	abur-dhable
sed	abura
ilegitimate sed	abura gala
germinated sed	abura muta'a
daisy	ada
desert	adala
campus	adalo
main campus	adalo dursaso
oasis	adalqalji
euphorbia	adami
discipline	adaba
one who takes disciplinary measures	adaba
punishable	adabama
fine	adabi
corporal punishment	adabi dhagna
death penalty	adabi du'a
severe punishment	adabi hama
to punish	adabu
hunting	adamo
bird-catcher	adamsa shimbiro
hunter	adamsa
predator	adamsoye
to hunt	adamsu
alergy	adanyo
skin alergy	adanyo goga
highland 2) highlander	adare
pigeon	adari
guardian spirit	adbari
forehead	ada
liberation front	ada bilisuma
flank	ada ilko
cold front	ada qora
united front	ada tokuma
national united front	ada tokuma saba
popular (people's) united front	ada tokuma umata
polar front	ada wage
war-front	ada warana
molar	adade
Adam	Adamo
divide and rule	adan qodi biti
separable	adan-ba'a
divider	adan-basa
to separate	adan-basu
separatist	adan-batu
separability	adan-bawuma
separation	adan-bayinsa
to divide	adan-qodu
vanguard	adabu'a
diferent	adada
diference	adaduma
rude	adage
rudery	adagoma
rudenes	adaguma
desertification	adalesi
particular	adaya
speciality	adayuma
explanation	adefama
whitenes 2) palor	adenya
waxing mon (op. of dukana) 2) mon	adesa
one who explains	adesa
bleaching powder	adesiye
to make white	adesu
topography	adolafa
townscape	adolafa magala
mask	ado
gas mask	ado gasi
bosom friend	adoye
1) world 2) life	adunya
busines world	adunya bunaqa
the New World	adunya hara
the world of sport	adunya isporti
the Old World	adunya mofa
the Third World	adunya sadafa
universe	adunyale
internationalised	adunyalefama
international	adunyalesa
to internationalise	adunyalesu
comercial traveler	adema bunaqa
traveler	adema
journey	ademi
railway journey	ademi babura
travel by air	ademi balali'a
