don't shoot	ከይትትኲስ
wrist	ጐንቦ-ኢድ
general	ጀነራል
admiral	ኣድሚራል
colonel	ኮሎነል
commander	ኮማንደር
major	መጀር
captain	ካፒተን
lieutenant	ትልንቲ
senior sergeant	ሓለቓ-ሰርገንቲ
soldier	ወተሃደር
airman	መራሕ-ነፋሪት
seaman	ባሕረኛ
marine	ማሪን
army	ሓይሊ-ምድሪ
marines	ማሪን
navy	ነቪ
commander	ኮማንደር
dentist	ሓኪም-ስኒ
doctor	ዶከተር
driver	ዘዋሪ
farmer	ሓረስታይ
fisherman	ገፋፍ-ዓሳ
guard	ዋርድያ
housewife	በዓልቲ-ሓዳር
laborer	ሸቃላይ
mechanic	መካኒክ
messenger	ተለኣኣኺ
pilot	ፓይሎት
policeman	ፖሊስያ
sailor	ባሕረኛ
businessman	ነጋዳይ
shopkeeper	በዓል-ድኳን
soldier	ወተሃደር
student	ተምሃራይ
teacher	መምህር
ad values	ዝተመዛዘነ
ammunition	ተተኰስቲ
baggage	ጾር
cargo	ጽዕነት
customs	ጉምሩክ
damaged	ዝተበላሸወ
delivery	ምብጻሕ
duty	ቀረጽ
expenditures	ወጻኢ
export	ሰደድ
false	ግጉይ
form	ሰነድ-ቅጥዒ
holding	ንብረት
import	ኣታዊ
insurance	መድሕን
Tigrinya	ትግርኛ
loading	ምጽዓን
narcotics	መስሕት-ኣእምሮ
nomenclature	ስየማ
on-board	ዝተሳፈረ
owner	ዋና
passport	ፓስፖርት
permission	ፍቓድ
personnel	ሰራሕተኛታት
prohibited	ክልኩል
property	ንብረት
receipt	ቅብሊት
relics	ክቡራት-ትሕዝቶ
restricted	ሕጹር
souvenir	መዘከርታ
storage	መኽዘን
tax-free	ቀረጽ-ኣልቦ
to answer	ምምላስ
to export	ምስዳድ
transportation	ምግዕዓዝ
unloading	ምርጋፍ
value	ክብሪ
visa	ቪዛ
weapons	መሳርያታት
aunt	ኣሞ
brother	ሓው
child	ቈልዓ
children	ቈልዑ
daughter	ጓል
family	ስድራ
father	ኣቦ
grandfather	ኣቦ-ሓጎ
grandmother	እነ-ሓጎ
husband	በዓል-ቤት
man	ሰብኣይ
men	ሰብኡት
mother	ኣደ
relatives	ኣዝማድ
sister	ሓፍቲ
son	ወዲ
uncle	ሓውቦ
wife	በዓልቲ-ቤት
woman	ሰበይቲ
women	ኣንስቲ
cold	ቍሪ
dry	ንቑጽ
fog	ዕምብረ
hot	ሃሩር
humidity	ርጥበት
ice	በረድ
lightning	በርቂ
rain	ዝናብ
severe	ብርቱዕ
snow	በረድ
storm	ማዕበል
temperature	ደረጃ-ሙቐት
weather	ኲነታት-ኣየር
wet	ትርኩስ
tornado	ህቦብላ
airfield	መዓልቦ-ነፈርቲ
ammunition	ተተኰስቲ
artillery	ከቢድ-ብረት
barracks	ባራካ
base	መደበር
camp	መዓስከር
cannon	መድፍዕ
car	መኪና
commander	ኮማንደር
enemy	ጸላኢ
explosive	ነታጒ
