civilisation	ስልጣኔ
civilization	ስልጣኔ
Slovak	ስሎቨክኛ
Slovakia	ስሎቫኪያ
Slovenia	ስሎቬኒያ
name	ስም
law	ስርዓት
Slovenian	ስቁቪኛ
tooth	ስኒ
Sinhala	ስንሃልኛ
Sinhalese	ስንሃልኛ
Switzerland	ስዊዘርላንድ
Sweden	ስዊድን
Swedish	ስዊድንኛ
Spanish	ስፓኒሽ
Spain	ስፔን
bull	ሶር
eight	ሸሞንተ
seven	ሸውዓተ
tea	ሻሂ
champion	ሻምፕዮን
sound	ሽቦ
six	ሽድሽተ
cigarette	ሽጋራ
torch	ሽግ
Sa.	ቀ
lake	ቀላይ
eyelash	ቀርነብ
Horn of Africa	ቀርኒ ኣፍሪቃ
horn of africa	ቀርኒ ኣፍሪቃ
somali peninsula	ቀርኒ ኣፍሪቃ
priest	ቀሺ
autumn	ቀውዒ
red	ቀይሕ
first	ቀዳማይ
Saturday	ቀዳም
saturday	ቀዳም
word	ቃል
pain	ቃንዛ
merchant	ቃፍላይ
forearm	ቅልጽም
eyelash	ቅርኒብ ዓይኒ
St. Vincent  Grenadines	ቅዱስ ቪንሴንት እና ግሬናዲንስ
St. Kitts  Nevis	ቅዱስ ኪትስ እና ኔቪስ
St. Pierre  Miquelon	ቅዱስ ፒዬር እና ሚኩኤሎን
child	ቆልዓ
younker	ቈልዓ
mother tongue	ቋንቋ ኣደ
speech	ቋንቋ
talk	ቋንቋ
voice	ቋንቋ
settlement	ቍሸት
small town	ቍሸት
village	ቍሸት
block	ቕጫ
Belgium	በልጂዩም
ice	በረድ
water ice	በረድ
stained	በሮክቶ
Bengali	በንጋሊኛ
hubby	በዓል ቤት
husband	በዓል ቤት
married man	በዓል ቤት
fete	በዓል
corpse	በድኒ
sheepy	በግዕ
Bhutan	ቡህታን
Bulgarian	ቡልጋሪኛ
Bulgaria	ቡልጌሪያ
Burkina Faso	ቡርኪና ፋሶ
coffee	ቡን
coffee bean	ቡን
Bihari	ቢሃሪ
beer	ቢራ
Guinea-Bissau	ቢሳዎ
amber	ቢጫ
Bahamas	ባሃማስ
Bahrain	ባህሬን
bean	ባልደንጓ
Barbados	ባርቤዶስ
fire	ባርዕ
slave	ባርያ
Basque	ባስክኛ
bank	ባንክ
Bangladesh	ባንግላዲሽ
biology	ባዮሎጂ
Belize	ቤሊዘ
Belarus	ቤላሩስ
Belarusian	ቤላራሻኛ
Belgium	ቤልጄም
Bermuda	ቤርሙዳ
restaurant	ቤት መግቢ
house	ቤት
Benin	ቤኒን
suddenly	ብሃንደበት
up and	ብሃንደበት
ag	ብሩር
atomic number 47	ብሩር
silver	ብሩር
Brunei	ብሩኒ
Burundi	ብሩንዲ
Brazil	ብራዚል
Breton	ብሬቶን
knee	ብርኪ
knee joint	ብርኪ
pen	ብርዒ
ox	ብዕራይ
Bolivia	ቦሊቪያ
Bosnia  Herzegovina	ቦስኒያ እና ሄርዞጎቪኒያ
Bosnian	ቦስኒያን
stopover	ቦታ
Botswana	ቦትስዋና
Vietnamese	ቪትናምኛ
Vietnamese	ቪየትናምኛ
Vatican City	ቫቲካን
Vanuatu	ቫኑአቱ
Vietnam	ቬትናም
Venezuela	ቬንዙዌላ
telephone	ተለፎን
Telugu	ተሉጉኛ
snake	ተመን
target	ተሰሓቢ
tennis	ተኒስ
miracle	ተኣምር
wolf	ተኹላ
flora	ተኽሊ
herb	ተኽሊ
plant	ተኽሊ
plant life	ተኽሊ
weather	ተጻወረ
Turkish	ቱርከኛ
Turkey	ቱርክ
Turkmenistan	ቱርክሜኒስታን
Tuvalu	ቱቫሉ
Tunisia	ቱኒዢያ
apple	ቱፋሕ
December	ታሕሳስ
subprime	ታሕታዋይ
Tamil	ታሚልኛ
history	ታሪኽ
Tanzania	ታንዛኒያ
Thailand	ታይላንድ
Thai	ታይኛ
Taiwan	ታይዋን
Tajikistan	ታጃኪስታን
Filipino	ታጋሎገኛ
Tagalog	ታጋሎገኛ
avarice	ትህርፍቲ
sloth	ትህኪት
Trinidad  Tobago	ትሪኒዳድ እና ቶባጎ
nine	ትሽዓተ
augury	ትንቢት
vaticination	ትንቢት
miracle	ትኣምር
Twi	ትዊ
solitaire	ትዕግሥቲ
Tigrinya	ትግርኛ ፊደል
Tigrinya language	ትግርኛ ፊደል
Tigrinya	ትግርኛ
Tonga	ቶንጋ
Tokelau	ቶክላው
Togo	ቶጐ
Chile	ቺሊ
China	ቻይና
Chinese	ቻይንኛ
Chad	ቻድ
Czech Republic	ቼክ ሪፑብሊክ
Czech	ቼክኛ
𐐕𐐯𐐿	ቼክኛ
Th.	ኃ
Thursday	ኃሙስ
thursday	ኃሙስ
november	ኅዳር
August	ነሓሰ
wine	ነቢት
augury	ነቢይ
vaticination	ነቢይ
tiger	ነብሪ
thing	ነገር
Niue	ኒኡይ
Nicaragua	ኒካራጓ
New Caledonia	ኒው ካሌዶኒያ
New Zealand	ኒው ዚላንድ
Niger	ኒጀር
Namibia	ናሚቢያ
nakfa	ናቕፋ
Nauru	ናኡሩ
Turkmen	ናይ ቱርኪ ሰብዓይ ቱርካዊ
Niger	ናይጀር
Nigeria	ናይጄሪያ
Netherlands	ኔዘርላንድ
Nepal	ኔፓል
Nepali	ኔፖሊኛ
bee	ንህቢ
bee	ንሕቢ
we	ንሕና
they	ንሳተን
they	ንሳቶም
eagle	ንስሪ
you	ንስኹም
you	ንስኺ
you	ንስኻ
you	ንስኻትኩም
you	ንስኻትክን
you	ንስኽን
pocket-handkerchief	ንእሽቶ
a.m.	ንጉሆ ሰዓተ
king	ንጉሥ
monarch	ንጉሥ
queen regnant	ንግሥቲ
Nov.	ኖ
Norway	ኖርዌ
Norwegian Nynorsk	ኖርዌይኛ ናይ ኝኖርስክ
Norwegian	ኖርዌይኛ
Norwegian	ኖርዌጂያን
Norfolk Island	ኖርፎልክ ደሴት
Nov.	ኖቬም
November	ኖቬምበር
Allah	አላህ
Albania	አልባኒያ
Albanian	አልቤኒኛ
Algeria	አልጄሪያ
United States	አሜሪካ
Americas	አሜሪካዎች
Amharic	አምሐረኛ
Aruba	አሩባ
Armenia	አርሜኒያ
Argentina	አርጀንቲና
astronomy	አስትሮኖሚ
Antigua  Barbuda	አንቲጓ እና ባሩዳ
Antarctica	አንታርክቲካ
Andorra	አንዶራ
Anguilla	አንጉኢላ
Angola	አንጐላ
Euro	አውሮ
Australasia	አውስትራሊያ እና ኒው ዚላንድ
Azerbaijan	አዘርባጃን
Azerbaijani	አዜርባይጃንኛ
Azeri	አዜርባይጃንኛ
Ireland	አየርላንድ
Irish	አይሪሽ
Irish Gaelic	አይሪሽ
Icelandic	አይስላንደኛ
𐐌𐑅𐑊𐐰𐑌𐐼𐐮𐐿	አይስላንደኛ
Iceland	አይስላንድ
mouth	አፍ
Afrikaans	አፍሪቃንሰኛ
afrikaans	አፍሪቃንሰኛ
south african dutch	አፍሪቃንሰኛ
taal	አፍሪቃንሰኛ
Africa	አፍሪካ
Afghanistan	አፍጋኒስታን
Uruguay	ኡራጓይ
Urdu	ኡርዱኛ
Uzbek	ኡዝበክኛ
imperialist	ኢምፐርያሊስት
Iraq	ኢራቅ
Iran	ኢራን
Ethiopia	ኢትዮጵያ
Federal Democratic Republic of Ethiopia	ኢትዮጵያ
Interlingua	ኢንቴር ቋንቋ
𐐆𐑌𐐻𐐲𐑉𐑊𐐮𐑍𐐶𐐲	ኢንቴር ቋንቋ
rugby union	ኢንቶ
Indonesia	ኢንዶኔዢያ
Equatorial Guinea	ኢኳቶሪያል ጊኒ
Ecuador	ኢኳዶር
hand	ኢድ
almanac	ኣልማናክ
diamond	ኣልማዝ
deity	ኣምላክ
divinity	ኣምላክ
god	ኣምላክ
immortal	ኣምላክ
Amharic	ኣምሓረኛ ፊደል
Italian language	ኣምሓረኛ ፊደል
Amharic	ኣምሓረኛ
forty	ኣርባዓ
four	ኣርባዕተ
Asmara	ኣስመራ
skeleton	ኣስከረን
begetter	ኣቦ
father	ኣቦ
male parent	ኣቦ
you	ኣተን
you	ኣቱም
you	ኣቲ
you	ኣታ
flora	ኣትክልቲ
plant	ኣትክልቲ
plant life	ኣትክልቲ
steel	ኣቻዮ
I	ኣነ
lion	ኣንበሳ
Europe	ኣውሮጳ
Australia	ኣውስትራሊያ
bus	ኣውቶቡስ
fer lo bus	ኣውቶቡስ
air	ኣየር
mother	ኣደ
address	ኣድራሻ
donkey	ኣድጊ
means	ኣገልጋሊ
finger	ኣጻብዕ
toe	ኣጽባዕቲ
door	ኣፍደገ
Apr.	ኤ
El Salvador	ኤል ሳልቫዶር
Eritrea	ኤርትራ
eritrea	ኤርትራ
state of eritrea	ኤርትራ
Estonian	ኤስቶኒአን
𐐀𐑅𐐻𐐬𐑌𐐨𐐲𐑌	ኤስቶኒአን
Estonia	ኤስቶኒያ
Esperanto	ኤስፐራንቶ
𐐇𐑅𐐹𐐯𐑉𐐪𐑌𐐻𐐬	ኤስፐራንቶ
Apr.	ኤፕረ
April	ኤፕረል
mountain	እምባ
Israel	እስራኤል
Scottish Gaelic	እስኮትስ ጌልክኛ
Asia	እስያ
animal	እንስሳ
frog	እንቁሮያብ
egg	እንቋቑሖ
Indonesian	እንዶኑሲኛ
injera	እንጀራ
United Kingdom	እንግሊዝ
English	እንግሊዝኛ
𐐀𐑍𐑊𐐮𐑇	እንግሊዝኛ
ear	እዝኒ
ear lobe	እዝኒ
God	እግዚኣብሄር
Aug.	ኦ
Oct.	ኦ
Oman	ኦማን
tree	ኦም
Oriya	ኦሪያ
Austria	ኦስትሪያ
Oceania	ኦሽኒያ
Occitan	ኦኪታንኛ
Oct.	ኦክተ
October	ኦክተውበር
Aug.	ኦገስ
August	ኦገስት
canis familiaris	ከልቢ
dog	ከልቢ
domestic dog	ከልቢ
city	ከተማ
town	ከተማ
labium	ከንፈር
and	ከኣ
retainer	ከዳሚ
servant	ከዳሚ
Kurdish	ኩርድሽ
Cuba	ኩባ
weather	ኩነታት ኣየር
war	ኩናት
football	ኩእሶ እግሪ
Cook Islands	ኩክ ደሴቶች
Kirghiz	ኪሩጋዚ
Kiribati	ኪሪባቲ
Cameroon	ካሜሩን
Cambodia	ካምቦዲያ
Caribbean	ካሪቢያን
Catalan	ካታላን
𐐗𐐪𐐻𐐲𐑊𐐪𐑌	ካታላን
Catalan	ካታላንኛ
Kannada	ካናደኛ
Canada	ካናዳ
Cayman Islands	ካይማን ደሴቶች
merciful	ኬር
pitiful	ኬር
Kenya	ኬንያ
Cape Verde	ኬፕ ቬርዴ
Klingon	ክሊንግኦንኛ
𐐗𐑊𐐮𐑍𐐱𐑌	ክሊንግኦንኛ
two	ክልተ
winter	ክረምቲ
Croatian	ክሮሽያንኛ
𐐗𐑉𐐬𐐩𐑇𐐲𐑌	ክሮሽያንኛ
Croatia	ክሮኤሽያ
Kuwait	ክዌት
wear	ክዳን
Colombia	ኮሎምቢያ
Comoros	ኮሞሮስ
Korean	ኮሪያኛ
Courtney Chetwynde	ኮርትኒ ቼትዊንድ
Costa Rica	ኮስታ ሪካ
Ivory Coast	ኮት ዲቯር
Congo DRC	ኮንጎ
Congo Republic	ኮንጐ
Cocos Keeling Islands	ኮኮስ ኬሊንግ ደሴቶች
Qatar	ኳታር
pigeon	ኳትራ
corbie	ኳክ
crow	ኳኽ
stool	ኵርሲ
arrow	ኵናት
rents	ወላዲ
Welsh	ወልሽ
𐐎𐐯𐑊𐑇	ወልሽ
skeet	ወረ
paper	ወረቐት
month	ወርሒ
moon	ወርሒ
soldier	ወተሃደር
son	ወዲ
Outlying Oceania	ወጣ ያለ ኦሽኒያ
Wallis  Futuna	ዋሊስ እና ፉቱና ደሴቶች
snow	ውርጪ
ocean	ውቅያኖስ
score	ዒስራ
F.	ዓ
CE	ዓ/ም
BCE	ዓ/ዓ
universe	ዓለማት
World	ዓለም
web	ዓለባ
year	ዓመት
Arabic	ዓረበኛ
𐐇𐑉𐐲𐐺𐐮𐐿	ዓረበኛ
socket	ዓራት
Friday	ዓርቢ
ten	ዓሰርተ
gert	ዓቢ
Lent	ዓቢይ ጾም
toilet	ዓይኒ ምድሪ
eye	ዓይኒ
mince pie	ዓይኒ
sovereign state	ዓዲ
bloom	ዕምባባ
Hebrew	ዕብራስጥ
time	ዘመን
Zulu	ዙሉኛ
Zimbabwe	ዚምባብዌ
Zimbabwe	ዚምቧቤ
Zambia	ዛምቢያ
rain	ዝናብ
Xhosa	ዞሳኛ
Indian Rupee	የሕንድ ሩፒ
Yemen	የመን
Central African Republic	የመካከለኛው አፍሪካ ሪፐብሊክ
Russian Ruble	የራሻ ሩብል
Northern Mariana Islands	የሰሜናዊ ማሪያና ደሴቶች
British Indian Ocean Territory	የብሪታኒያ ህንድ ውቂያኖስ ግዛት
Brazilian Real	የብራዚል ሪል
Bouvet Island	የቦውቬት ደሴት
United Arab Emirates	የተባበሩት አረብ ኤምሬትስ
Turks  Caicos Islands	የቱርኮችና የካኢኮስ ደሴቶች
Chinese Yuan	የቻይና ዩአን ረንሚንቢ
Åland Islands	የአላንድ ደሴቶች
American Samoa	የአሜሪካ ሳሞአ
U.S. Virgin Islands	የአሜሪካ ቨርጂን ደሴቶች
US Dollar	የአሜሪካን ዶላር
Ethiopian Birr	የኢትዮጵያ ብር
British Virgin Islands	የእንግሊዝ ድንግል ደሴቶች
UK Pound	የእንግሊዝ ፓውንድ ስተርሊንግ
Heard  McDonald Islands	የኧርድ እና የማክዶናልድ ደሴቶች
Japanese Yen	የጃፓን የን
Christmas Island	የገና ደሴቶች
French Southern Territories	የፈረንሳይ ደቡባዊ ግዛቶች
French Guiana	የፈረንሳይ ጉዊአና
French Polynesia	የፈረንሳይ ፖሊኔዢያ
Faroe Islands	የፋሮይ ደሴቶች
Palestinian Territories	የፍልስጤም ግዛት
Falkland Islands Islas Malvinas	የፎልክላንድ ደሴቶች
Ukrainian	ዩክረኒኛ
Ukraine	ዩክረይን
Ukraine	ዩክሬን
Uzbekistan	ዩዝበኪስታን
Uganda	ዩጋንዳ
Yiddish	ዪዲሽ
Joan	ዮሐንስ
blood	ደም
duck	ደርሆ ማይ
hen	ደርሆ
island	ደሴት
South America	ደቡባዊ አሜሪካ
Southern Europe	ደቡባዊ አውሮፓ
Southern Africa	ደቡባዊ አፍሪካ
South Africa	ደቡብ አፍሪካ
South Korea	ደቡብ ኮሪያ
letter	ደብዳበ
Dutch	ደች
𐐔𐐲𐐽	ደች
Eritrean Highlands	ደጋ
Dec.	ዲ
democracy	ዲሞክራሲ
Dec.	ዲሴም
December	ዲሴምበር
pail	ዳሉ
Danish	ዴኒሽ
𐐔𐐩𐑌𐐮𐑇	ዴኒሽ
Denmark	ዴንማርክ
temblor	ድልቅልቅ
bridge	ድልድል
p.m.	ድሕር ሰዓት
cat	ድሙ
bear	ድቢ
virgin	ድንግል
Dominica	ዶሚኒካ
Dominican Republic	ዶሚኒክ ሪፑብሊክ
margin	ዶብ
doc	ዶክተር
doctor	ዶክተር
dr.	ዶክተር
md	ዶክተር
medico	ዶክተር
physician	ዶክተር
German	ጀርመን
Germany	ጀርመን
Jul.	ጁ
Jun.	ጁ
Jul.	ጁላይ
July	ጁላይ
Jun.	ጁን
June	ጁን
Djibouti	ጂቡቲ
Jan.	ጃ
Jamaica	ጃማይካ
Javanese	ጃቫንኛ
Jan.	ጃንዩ
January	ጃንዩወሪ
Japan	ጃፓን
Japanese	ጃፓንኛ
cheese	ጅብና
Jordan	ጆርዳን
Georgia	ጆርጂያ
geography	ጆግራፍ
camel	ገመል
dromedary	ገመል
money	ገንዘብ
welcome	ገንዘብካ
face	ገጽ
human face	ገጽ
owl	ጉንጓ
cheek	ጉንጪ
Guam	ጉዋም
Guatemala	ጉዋቲማላ
Guadeloupe	ጉዋደሉፕ
Guyana	ጉያና
Gujarati	ጉጃራቲኛ
Gibraltar	ጊብራልታር
Guinea	ጊኒ
Georgian	ጊዮርጊያኛ
𐐖𐐬𐑉𐐾𐐲𐑌	ጊዮርጊያኛ
thicket	ጊፍ
Galician	ጋለቪኛ
Gallegan	ጋሊሺኛ
Gambia	ጋምቢያ
Gabon	ጋቦን
Ghana	ጋና
squadron	ጋንታ
cistern	ጋው
water reservoir	ጋው
present	ጌጽ
Greenland	ግሪንላንድ
Greek	ግሪከኛ
𐐘𐑉𐐨𐐿	ግሪከኛ
Greece	ግሪክ
Grenada	ግሬናዳ
Egypt	ግብጽ
May	ግንቦ
May	ግንቦት
Ge'ez	ግዕዝ
Geez	ግዕዝ
lane	ጎደና
able-bodied	ጐልማሳ
street	ጐደና
daughter	ጓል
woman	ጓል
Guarani	ጓራኒ
sturdy	ጕልሙስ
ganef	ጕሒላ
table	ጠራጴዛ
Italy	ጣሊያን
Italian	ጣሊያንኛ
𐐆𐐻𐐰𐑊𐐷𐐲𐑌	ጣሊያንኛ
teff	ጣፍ
jackalope	ጤል
Jan.	ጥሪ
January	ጥሪ
vessel	ጥርሙዝ
October	ጥቅምቲ
october	ጥቅምቲ
spanger	ጨርቃም
sodium chloride	ጨው
hatchling	ጫጩት
beard	ጭሕሚ
bird	ጭሩ
milk	ጸባ
ant	ጻሰ
white	ጻዕዳ
pismire	ጻጸ
butterfly	ጽምብላሊዕ
text	ፅሑፍ
river	ፈለግ
equus caballus	ፈረስ
horse	ፈረስ
yarraman	ፈረስ
France	ፈረንሳይ
French	ፈረንሳይኛ
Philippines	ፊሊፒንስ
Finnish	ፊኒሽ
Finland	ፊንላንድ
Ethiopic	ፊደል
alphabet	ፊደል
letter	ፊደል
Fiji	ፊጂ
Faroese	ፋሮኛ
axe	ፋስ
Feb.	ፌ
Feb.	ፌብሩ
February	ፌብሩወሪ
production	ፍረ
Frisian	ፍሪሰኛ
Western Frisian	ፍሪሰኛ
midnight	ፍርቂ ለይቲ
smile	ፍሽኸታ
Persian	ፐርሲያኛ
Punjabi	ፑንጃቢኛ
Pitcairn Islands	ፒትካኢርን
Palau	ፓላው
Paraguay	ፓራጓይ
Pashto	ፓሽቶ
Pushto	ፓሽቶ
Panama	ፓናማ
Pakistan	ፓኪስታን
Papua New Guinea	ፓፑዋ ኒው ጊኒ
Peru	ፔሩ
Polish	ፖሊሽ
Polynesia	ፖሊኔዢያ
Poland	ፖላንድ
Portugal	ፖርቱጋል
Brazilian Portuguese	ፖርቱጋልኛ ናይ ብራዚል
European Portuguese	ፖርቱጋልኛ ናይ ፖርቱጋል
Iberian Portuguese	ፖርቱጋልኛ ናይ ፖርቱጋል
Portuguese	ፖርቱጋልኛ
Puerto Rico	ፖርታ ሪኮ
