Tokyo	ቶኪዮ
voice	ድምፂ
radio	ሬድዮ
Mr.	አቶ
Ethiopian embassy	ኤምባሲ ኢትዮጵያ
Eritrean state	መንግስቲ ኤርትራ
Somali	ሶማል
international	ኢንተርናሽናል
Amnesty International	ኣምነስቲ ኢንተርናሽናል
amnesty	ኣምነስቲ
Amnesty International	ኣምስቲ ኢንተርናሽናል
amnesty	ኣምንሰቲ
Amnesty International	ኣምንሰቲ ኢንተርናሽናል
mobile	ሞባይል
mobile phone	ሞባይል ስልኪ
amnesty	ኣምስቲ
Al-Shabaab	ኣልሸባብ
Somalia	ሶማል
humanitarian assistance	ሰብኣዊ ረድኤትን
aid	ረድኤትን
Somalis	ሶማሊያዊያን
girl	ኣንስተይቲ ቆልዓ
which did	ዝሰርሓ
Benadict	በነዲክት
for VOA	ንቪኦኤ
federal	ፌደራላዊ
Horn of Africa	ቀርኒ ኣፍሪካ
Africa	ኣፍሪካ
Chatham	ቻትሃም
Chatham House	ጉጅለ ቻትሃም
Roger	ሮጀር
Middleton	ሚድልተን
Roger Middleton	ሮጀር ሚድልተን
African Union	ሕብረት ኣፍሪካ
Somalia	ሱማሊያ
Somalis	ሱማሊያዊያን
international	እንተርናሽል
Amnesty International	ኣምስቲ እንተርናሽል
Nations	ሃገራት
Europe	ኤውሮጳ
Spain	ስጳኛ
Doctors without Borders	ብሓካይም ብዘይዶብ
Médecins Sans Frontières	ብሓካይም ብዘይዶብ
MSF	ኤም ኤስ ኤፍ
Médecins Sans Frontières	ኤም ኤስ ኤፍ
sexual	ጾታዊ
Balkan	ባልካን
European	ኤውሮጳዊ
month	ኣዋርሕ
Tunisian	ቱኒዝያን
Donald	ዶናልድ
Tusk	ታስክ
Donald Tusk	ዶናልድ ታስክ
Joseph	ጆሰፍ
Muscat	ሙስካት
prime minister	ቀዳማይ ሚኒስተር
Shimon	ሽምን
Peres	ፔሬዝ
Yasser	ያሲን
Arafat	ዓራፋት
Ramallah	ራማላህ
Fatah	ፋታሕ
Palestinian	ፍሊስጤም
doctors	ብሓካይም
without borders	ብዘይዶብ
America	ኣመሪካ
Eritrean	ኤርትርውያን
Seattle	ስያትል
Jerusalem	እየሩሳሌም
football	ኩዕሶ እግሪ
soccer	ኩዕሶ እግሪ
camera	ካሜራ
Rwanda	ሩዋንዳን
Burundi	ቡሩንዲን
protocol	ፕሮቶኮል
Djibouti	ጅቡትን
president	ፕረዚደንት
Isai	ኢሳያስ ኣፈወርቂ
Isaias Afwerki	ኢሳያስ ኣፈወርቂ
Asmera	ኣስመራ
Uganda	ኡጋንዳዊት
Kampala	ካምፓላ
city	ኸተማ
referendum	ረፈርደም
European Union	ሕብረት ኤውሮጳን
London	ሎንዶን
democratic	ዲሞክራሲያዊ
Moga	ሞቓዲሾ
Mogadishu	ሞቓዲሾ
football	ፉትቦል
soccer	ፉትቦል
Holand	ሆላንድ
Spain	ስጳኝ
conference	ኮንፈረንስ
South Africa	ደቡብ ኣፍሪቃ
South Africa	ደቡብ ኣፍርቃን
President	ፕረዚደንት
Barack Obama	በራክ ኦባማ
festival	ፌስቲቫል
London	ሎንደን
Sweeden	ስዊድን
Sweden	ስዊድን
Washington	ንዋሽንግቶን
Georgetown University	ጆርጅታውን ዩኒቨርስቲ
Horn of Africa	ቀርኒ ኣፍሪቃ
Washington	ዋሺንግቶን
democratic	ንዴሞክራሲያዊ
minister	ምንስተር
Europe	ኣውሮጳ
Tanzania	ታንዛንያ
Zanzibar	ዛንዚባር
Rwanda	ርዋንዳን
camps	ካምፕታት
United	ዩነይትድ
David	ዳውድ
transformation	ትራንስፎርሜሽንን
moslems	ሙስሊማት
Afghanistan	ኣፍጋኒስታን
committee	ኮሚቴ
arbitrary detention	ዘይሕጋዊ ማእሰርቲ
sex crimes	ጾታውን በደላት
half	ፍርቂ
one	ሓንቲ
Eritrean	ኤርትራዊት
Eritrean woman	ኤርትራዊት
fear	ስምባደ
hafl	ፍርቂ
New York	ኒው ዮርክ
foreign minister	ምንስተር ወጻኢ
H	ኤች
I	ኣይ
V	ቪ
HIV	ኤች ኣይ ቪ
Meles Zenawi	መለስ ዚናዊ
Columbia University	ዩኒቨርስቲ ኮሎምብያ
Ethiopia	ኢትዮጵይያ
Djibouti	ጂቡቲን‘ውን
Guin	ጊነስ ወርልድ ሪኮርድስ
Guiness World Records	ጊነስ ወርልድ ሪኮርድስ
record	ሪኮርድ
athletic	ኣትሌትክስ
Lisbon	ሊዝበን
Book	ቡክ
book	ቡክ
Asm	አስመራ
Asmara	አስመራ
two	ክልት
minister	ምንስቲር
foreign minister	ምንስቲር ወፃኢ
democracy	ዲሞክራሲ
millions	ሚልዮናት
union	ሕብረት
European Union	ሕብረት ኤውሮጳን
Eritrea	ኤርትርያ`
Sacramento	ሳክራመንቶ
California	ካሊፎርንያ
Aksum	ኣኽሱም
Zenawi	ዜናዊ
gravity	ግራቪቲ
American	ኣሜሪካዊን
Russian	ሩስያዊያንን
three	ሰሉስ
foreign ministry	ሚኒስትሪ ወጻኢ
minister	ምንስትሪ
Gash Barka	ጋሽ ባርካ
Forto Sawa	ፈርቶ ሳዋ
project	ፕሮጀክትታት
projects	ፕሮጀክትታት
Sub-Saharan Africa	ትሕቲ ሳሃራ ኣፍሪቃ
Abraham	ኣብርሃም
Getachew	ጌታቸው
professor	ፕሮፌሰር
Petros	ጴጥሮስ
additional aid	ተወሳኺ ሓገዝ
Ugandan	ኡጋንዳዊያን
Birundi	ብሩንዲ
Kenyan	ኬንያዊያን
artist	ጥበባዊ
Abraham	ኣብራሃም
Stockholm	ስቶክሆልም
Sweden	ስዊደን
Isaias	ኢሳያስ
also	ካልኣይ ድማ
electric	ኤሌክትሪክ
director	ዳይረክተር
Tom	ቶም
Hart	ሃርት
Trump	Trump
shooting	ብረታዊ
Khartoum	ካርቱም
global	ግሎባዊት
citizen	ህዝቢ
Europe	ኣውሮፓ
million	ሚሊዮን
European Union	ሕብረት ኣውሮፓ
George	ጊዮርጊስ
saint	ቅዱስ
Saint George	ቅዱስ ጊዮርጊስ
Adama	አዳማ
city	ከተማ
Adama City	አዳማ ከተማ
Sidama Coffee	ሲዳማ ቡና
Sidama	ሲዳማ
Hawassa	ሐዋሳ
Awasa	ሐዋሳ
Awasa	ኣዋሳ
Muhammad	ሙሓመድ
Adam	አደም
Idris Muhammad Adam	ንእድሪስ ሙሓመድ አደም
films	ፊልምታት
Asmara	አስመራ
bus	አውቶቡስ
in	አብ
city bus	አውቶቡስ ናይ ከተማ
USS	ዩ . ኤስ . ኤስ .
US	ዩ . ኤስ
U.S.	ዩ . ኤስ
flag	ብባንዲራ
Libya	ሊቢያ
casket	ሳንዱቕ
metro	ሜትሮ
E.C.	ዓ/ም
state	ክልል
province	ክልል
investment	ኢንቨስትመንት
Gambela	በጋምቤላ
Gambela state	በጋምቤላ ክልል
Air Force	ኣየር ሓይሊ
